PLAYER,TEAM,MIN,AST per game,Opt. AST per game,AST per 75 poss,Opt. AST per 75 poss,Passing Production Rating Percentile,Positional P.P.R. Percentile
LeBron James,LAL,2316,10.21,12.96,10.71,13.6,1.0,1.0
Joe Ingles,UTA,2137,5.18,6.85,6.43,8.51,0.894,0.991
Giannis Antetokounmpo,MIL,1885,5.61,7.61,6.32,8.55,0.884,0.983
Jimmy Butler,MIA,1959,6.03,7.83,6.63,8.6,0.875,0.974
DeMar DeRozan,SAS,2282,5.63,7.48,5.96,7.97,0.866,0.966
Kawhi Leonard,LAC,1848,4.91,6.7,5.51,7.52,0.853,0.957
Khris Middleton,MIL,1818,4.28,5.63,4.92,6.47,0.791,0.948
Paul George,LAC,1419,3.85,5.26,4.68,6.39,0.781,0.94
Cody Martin,CHA,903,1.98,2.93,3.97,5.88,0.75,0.931
Luke Kennard,DET,888,4.11,5.24,4.63,5.9,0.741,0.922
Brandon Ingram,NOP,2062,4.18,5.85,4.27,5.98,0.738,0.914
Gordon Hayward,BOS,1740,4.08,5.45,4.37,5.84,0.734,0.905
Kevin Huerter,ATL,1760,3.8,5.08,4.27,5.7,0.728,0.897
Bogdan Bogdanovic,SAC,1736,3.42,4.32,4.33,5.52,0.712,0.888
Kyle Anderson,MEM,1330,2.42,3.01,4.3,5.36,0.709,0.879
Andrew Wiggins,GSW,1859,3.67,5.23,3.79,5.4,0.697,0.871
Evan Fournier,ORL,2076,3.17,4.32,3.7,5.06,0.688,0.862
Will Barton,DEN,1916,3.66,4.6,4.12,5.19,0.681,0.853
Rondae Hollis-Jefferson,TOR,1116,1.78,2.49,3.44,4.84,0.666,0.845
Terence Davis,TOR,1203,1.62,2.21,3.43,4.76,0.653,0.836
Josh Richardson,PHI,1693,2.95,4.0,3.52,4.78,0.647,0.828
Damion Lee,GSW,1423,2.71,3.68,3.34,4.52,0.634,0.819
Donte DiVincenzo,MIL,1495,2.34,3.04,3.49,4.54,0.625,0.81
Troy Brown Jr.,WAS,1782,2.58,3.3,3.52,4.5,0.622,0.802
Royce O'Neale,UTA,2049,2.54,3.37,3.25,4.31,0.609,0.793
Tobias Harris,PHI,2469,3.15,4.18,3.39,4.5,0.603,0.784
Dwayne Bacon,CHA,687,1.33,2.05,2.84,4.37,0.6,0.776
Garrett Temple,BKN,1730,2.52,3.39,3.22,4.33,0.597,0.767
Kevin Porter Jr.,CLE,1162,2.18,2.72,3.47,4.33,0.588,0.759
Solomon Hill,MIA,1088,1.76,2.16,3.4,4.16,0.584,0.75
Svi Mykhailiuk,DET,1253,1.91,2.56,3.08,4.16,0.581,0.741
Jayson Tatum,BOS,2265,3.03,4.06,3.22,4.32,0.578,0.733
DeAndre' Bembry,ATL,915,1.88,2.6,3.1,4.28,0.575,0.724
Pat Connaughton,MIL,1234,1.61,2.19,3.0,4.12,0.569,0.716
Patrick McCaw,TOR,891,2.17,2.82,3.14,4.15,0.566,0.707
Cedi Osman,CLE,1910,2.37,3.26,2.95,4.06,0.556,0.698
Tony Snell,DET,1613,2.19,2.93,2.89,3.94,0.553,0.69
RJ Barrett,NYK,1704,2.55,3.34,3.06,4.01,0.541,0.681
Jae Crowder,MIA,1840,2.47,3.11,3.06,3.84,0.534,0.672
Joe Harris,BKN,2123,2.09,3.24,2.42,3.75,0.519,0.664
Jarrett Culver,MIN,1506,1.75,2.64,2.56,3.86,0.512,0.655
Kenrich Williams,NOP,832,1.46,2.12,2.44,3.54,0.491,0.647
E'Twaun Moore,NOP,1004,1.4,1.84,2.71,3.58,0.481,0.638
Grayson Allen,MEM,718,1.37,1.9,2.53,3.52,0.478,0.629
Jeremy Lamb,IND,1291,2.09,2.66,2.75,3.5,0.466,0.621
Marco Belinelli,SAS,875,1.23,1.45,2.77,3.33,0.453,0.612
Rudy Gay,SAS,1429,1.68,2.05,2.76,3.33,0.431,0.603
Malik Beasley,MIN,1209,1.36,2.02,2.21,3.29,0.428,0.595
Lonnie Walker IV,SAS,967,1.12,1.48,2.49,3.31,0.425,0.586
Markieff Morris,LAL,1171,1.33,1.79,2.37,3.2,0.416,0.578
Josh Okogie,MIN,1547,1.6,2.28,2.23,3.18,0.412,0.569
Wes Iwundu,ORL,953,1.15,1.6,2.32,3.21,0.409,0.56
Tim Hardaway Jr.,DAL,2027,1.93,2.64,2.36,3.23,0.406,0.552
Isaac Bonga,WAS,1250,1.15,1.66,2.17,3.14,0.397,0.543
Bojan Bogdanovic,UTA,2083,2.08,2.85,2.31,3.16,0.394,0.534
Mikal Bridges,PHX,2010,1.74,2.42,2.25,3.09,0.391,0.526
Danilo Gallinari,OKC,1834,1.92,2.55,2.38,3.17,0.384,0.517
Miles Bridges,CHA,1976,1.78,2.5,2.17,3.09,0.378,0.509
Harrison Barnes,SAC,2448,2.2,2.93,2.33,3.08,0.375,0.5
Kyle Korver,MIL,942,1.14,1.45,2.4,2.98,0.372,0.491
Matisse Thybulle,PHI,1287,1.22,1.61,2.24,2.96,0.369,0.483
Taurean Prince,BKN,1857,1.81,2.47,2.24,3.05,0.356,0.474
Sterling Brown,MIL,767,0.98,1.3,2.29,3.04,0.344,0.466
Trevor Ariza,POR,1453,1.65,2.26,2.22,2.92,0.341,0.457
Josh Hart,NOP,1742,1.66,2.27,2.16,2.95,0.338,0.448
Jaylen Brown,BOS,1934,2.07,2.76,2.24,2.99,0.334,0.44
Kentavious Caldwell-Pope,LAL,1762,1.61,2.06,2.26,2.9,0.328,0.431
Reggie Bullock,NYK,684,1.45,1.86,2.26,2.91,0.325,0.422
De'Andre Hunter,ATL,2018,1.78,2.55,1.96,2.81,0.312,0.414
Wilson Chandler,BKN,734,1.11,1.62,1.92,2.79,0.3,0.405
Rodney Hood,POR,619,1.52,2.31,1.84,2.78,0.297,0.397
